"Time","CKidney"
0,0
0,0
0.00833333333333333,6.25024932385455e-05
0.0166666666666667,0.000111583205341553
0.025,0.000155435838438324
0.0333333333333333,0.000196996101289528
0.0416666666666667,0.000237251752363804
0.05,0.000276572903365402
0.0583333333333333,0.000315125481951644
0.0666666666666667,0.000353002926003281
0.075,0.000390269694704678
0.0833333333333333,0.000426976458611937
0.0916666666666667,0.000463165858276693
0.1,0.000498874970189095
0.108333333333333,0.000534136540482734
0.116666666666667,0.000568979721343272
0.125,0.000603430580098654
0.133333333333333,0.000637512488738802
0.141666666666667,0.00067124644339067
0.15,0.00070465133421755
0.158333333333333,0.000737744180710816
0.166666666666667,0.000770540331499398
0.175,0.000803053646173673
0.183333333333333,0.000835296653479205
0.191666666666667,0.00086728069315312
0.2,0.000899016035371452
0.208333333333333,0.00093051199432769
0.216666666666667,0.000961777026521211
0.225,0.000992818818262797
0.233333333333333,0.00102364436589982
0.241666666666667,0.00105426004063654
0.25,0.00108467165441244
0.258333333333333,0.00111488451583612
0.266666666666667,0.00114490348016229
0.275,0.00117473299418888
0.283333333333333,0.00120437713658937
0.291666666666667,0.0012338396541382
0.3,0.00126312399426054
0.308333333333333,0.00129223333429272
0.316666666666667,0.0013211706098933
0.325,0.00134993853351708
0.333333333333333,0.00137853961920612
0.341666666666667,0.0014069762017232
0.35,0.00143525045366459
0.358333333333333,0.00146336440095207
0.366666666666667,0.00149131993683088
0.375,0.00151911883450496
0.383333333333333,0.0015467627605589
0.391666666666667,0.00157425328024475
0.4,0.00160159187009896
0.408333333333333,0.00162877992627188
0.416666666666667,0.00165581877191204
0.425,0.00168270966585114
0.433333333333333,0.00170945380392368
0.441666666666667,0.00173605232767616
0.45,0.00176250632936798
0.458333333333333,0.00178881685632886
0.466666666666667,0.0018149849168787
0.475,0.00184101147924503
0.483333333333333,0.001866897478069
0.491666666666667,0.00189264381918626
0.5,0.00191825137767527
0.508333333333333,0.00194372100319632
0.516666666666667,0.00196905352219651
0.525,0.00199424974154855
0.533333333333333,0.00201931044580953
0.541666666666667,0.002044236401809
0.55,0.00206902836183731
0.558333333333333,0.00209368706049279
0.566666666666667,0.00211821321868122
0.575,0.00214260754638312
0.583333333333333,0.0021668707392612
0.591666666666667,0.00219100348225286
0.6,0.00221500645202576
0.608333333333333,0.00223888031342365
0.616666666666667,0.0022626257227653
0.625,0.00228624333005787
0.633333333333333,0.00230973377534761
0.641666666666667,0.00233309769191312
0.65,0.00235633570662668
0.658333333333333,0.00237944844207117
0.666666666666667,0.00240243651184856
0.675,0.00242530052412175
0.683333333333333,0.00244804108226351
0.691666666666667,0.00247065878444296
0.7,0.00249315422435301
0.708333333333333,0.00251552799074876
0.716666666666667,0.00253778066836224
0.725,0.00255991283726927
0.733333333333333,0.00258192507394668
0.741666666666667,0.00260381795247303
0.75,0.00262559203906714
0.758333333333333,0.0026472478985027
0.766666666666667,0.00266878609266328
0.775,0.00269020717927895
0.783333333333333,0.00271151171334906
0.791666666666667,0.00273270024592306
0.8,0.00275377332558847
0.808333333333333,0.0027747314971124
0.816666666666667,0.00279557530299333
0.825,0.00281630528201536
0.833333333333333,0.00283692197083709
0.841666666666667,0.00285742590250441
0.85,0.00287781760652125
0.858333333333333,0.00289809761111049
0.866666666666667,0.0029182664423614
0.875,0.00293832462251648
0.883333333333333,0.00295827267201873
0.891666666666667,0.00297811110661432
0.9,0.00299784044136176
0.908333333333333,0.00301746119003907
0.916666666666667,0.00303697386075483
0.925,0.00305637896074842
0.933333333333333,0.00307567699570086
0.941666666666667,0.00309486846656363
0.95,0.00311395387348894
0.958333333333333,0.00313293371386923
0.966666666666667,0.00315180848362255
0.975,0.00317057867538008
0.983333333333333,0.00318924477903559
0.991666666666667,0.00320780728292054
1,0.0032262666724265
1.00833333333333,0.00324462343141879
1.01666666666667,0.00326287804075146
1.025,0.00328103097981547
1.03333333333333,0.00329908272631912
1.04166666666667,0.00331703375354205
1.05,0.00333488453398796
1.05833333333333,0.00335263553766931
1.06666666666667,0.00337028723346879
1.075,0.00338784008603619
1.08333333333333,0.00340529455916509
1.09166666666667,0.00342265111421841
1.1,0.00343991021023618
1.10833333333333,0.00345707230486589
1.11666666666667,0.00347413785362589
1.125,0.00349110730828638
1.13333333333333,0.00350798112009194
1.14166666666667,0.00352475973781358
1.15,0.00354144360929287
1.15833333333333,0.00355803317809765
1.16666666666667,0.00357452888688068
1.175,0.0035909311760768
1.18333333333333,0.00360724048410929
1.19166666666667,0.00362345724693493
1.2,0.00363958189943737
1.20833333333333,0.00365561487409615
1.21666666666667,0.00367155660143978
1.225,0.00368740751035533
1.23333333333333,0.00370316802662563
1.24166666666667,0.0037188385753039
1.25,0.00373441957832777
1.25833333333333,0.00374991145667751
1.26666666666667,0.00376531462948915
1.275,0.00378062951262654
1.28333333333333,0.00379585652102488
1.29166666666667,0.00381099606824983
1.3,0.00382604856530248
1.30833333333333,0.00384101442050917
1.31666666666667,0.00385589404147745
1.325,0.00387068783403158
1.33333333333333,0.00388539620089585
1.34166666666667,0.00390001954381552
1.35,0.00391455826287269
1.35833333333333,0.00392901275637855
1.36666666666667,0.00394338341970594
1.375,0.00395767064722553
1.38333333333333,0.00397187483168642
1.39166666666667,0.00398599636312794
1.4,0.00400003563070622
1.40833333333333,0.00401399302174401
1.41666666666667,0.0040278689216406
1.425,0.0040416637132693
1.43333333333333,0.00405537777866198
1.44166666666667,0.00406901149804725
1.45,0.00408256524976512
1.45833333333333,0.00409603940969138
1.46666666666667,0.00410943435286397
1.475,0.00412275045255273
