"Time","CLiver"
0,0
0,0
0.00833333333333333,0.000187985018416779
0.0166666666666667,0.000335621235849937
0.025,0.000454843950135649
0.0333333333333333,0.000551056005973275
0.0416666666666667,0.000628612717030984
0.05,0.000691032049868898
0.0583333333333333,0.000741160568792466
0.0666666666666667,0.000781305178086769
0.075,0.000813338044371764
0.0833333333333333,0.000838780371419274
0.0916666666666667,0.000858869496432028
0.1,0.000874612737285022
0.108333333333333,0.000886830720373273
0.116666666666667,0.000896192319609322
0.125,0.000903242892996912
0.133333333333333,0.000908427142825546
0.141666666666667,0.000912107667307703
0.15,0.00091458002131747
0.158333333333333,0.000916085014164502
0.166666666666667,0.000916818652654506
0.175,0.000916940339140144
0.183333333333333,0.000916579538064113
0.191666666666667,0.000915841196667133
0.2,0.000914810234713059
0.208333333333333,0.000913555185859123
0.216666666666667,0.000912131202137025
0.225,0.000910582496354752
0.233333333333333,0.000908944368290365
0.241666666666667,0.000907244851507417
0.25,0.000905506072769132
0.258333333333333,0.000903745357865747
0.266666666666667,0.000901976147763225
0.275,0.000900208743175748
0.283333333333333,0.000898450917711585
0.291666666666667,0.000896708415637447
0.3,0.000894985362476405
0.308333333333333,0.000893284597661957
0.316666666666667,0.00089160794663625
0.325,0.000889956440611158
0.333333333333333,0.00088833049637311
0.341666666666667,0.000886730060481388
0.35,0.000885154726147317
0.358333333333333,0.000883603826307946
0.366666666666667,0.000882076508711013
0.375,0.000880571794902117
0.383333333333333,0.000879088627045397
0.391666666666667,0.000877625904585825
0.4,0.000876182512233777
0.408333333333333,0.000874757341601593
0.416666666666667,0.000873349307387071
0.425,0.000871957359101362
0.433333333333333,0.000870580489541063
0.441666666666667,0.000869217740237549
0.45,0.000867868205038606
0.458333333333333,0.00086653103169967
0.466666666666667,0.000865205422650081
0.475,0.000863890634093384
0.483333333333333,0.000862585974901326
0.491666666666667,0.000861290804846359
0.5,0.000860004532254255
0.508333333333333,0.000858726611858353
0.516666666666667,0.000857456541859061
0.525,0.000856193861424419
0.533333333333333,0.000854938148063426
0.541666666666667,0.000853689014839394
0.55,0.00085244610807254
0.558333333333333,0.000851209104542158
0.566666666666667,0.000849977709262899
0.575,0.000848751653291096
0.583333333333333,0.000847530691550136
0.591666666666667,0.000846314600817769
0.6,0.000845103177914588
0.608333333333333,0.000843896237999393
0.616666666666667,0.000842693612876079
0.625,0.000841495149615979
0.633333333333333,0.000840300709063635
0.641666666666667,0.000839110164833759
0.65,0.000837923401870942
0.658333333333333,0.000836740315565274
0.666666666666667,0.000835560810675361
0.675,0.000834384800544877
0.683333333333333,0.0008332122062418
0.691666666666667,0.000832042955819496
0.7,0.000830876983688123
0.708333333333333,0.000829714229999041
0.716666666666667,0.000828554640076535
0.725,0.000827398163849571
0.733333333333333,0.000826244755610337
0.741666666666667,0.000825094373336643
0.75,0.000823946978501472
0.758333333333333,0.000822802535625362
0.766666666666667,0.000821661012064955
0.775,0.000820522377694243
0.783333333333333,0.000819386604658202
0.791666666666667,0.000818253667152352
0.8,0.000817123541148647
0.808333333333333,0.000815996204426087
0.816666666666667,0.000814871636139888
0.825,0.000813749816849363
0.833333333333333,0.000812630728328567
0.841666666666667,0.000811514353390864
0.85,0.000810400675876456
0.858333333333333,0.000809289680512326
0.866666666666667,0.000808181352825735
0.875,0.000807075679052902
0.883333333333333,0.000805972646134789
0.891666666666667,0.000804872241526026
0.9,0.000803774453242913
0.908333333333333,0.000802679269773908
0.916666666666667,0.000801586680041337
0.925,0.000800496673363373
0.933333333333333,0.000799409239407983
0.941666666666667,0.000798324368157247
0.95,0.00079724204987974
0.958333333333333,0.000796162275101938
0.966666666666667,0.000795085034588565
0.975,0.000794010319306665
0.983333333333333,0.000792938120420543
0.991666666666667,0.000791868429269819
1,0.000790801237405753
1.00833333333333,0.000789736536440729
1.01666666666667,0.000788674318214165
1.025,0.000787614574603386
1.03333333333333,0.000786557297620548
1.04166666666667,0.00078550247938409
1.05,0.000784450112149056
1.05833333333333,0.000783400188179368
1.06666666666667,0.00078235269990048
1.075,0.000781307639738822
1.08333333333333,0.000780265000225913
1.09166666666667,0.000779224773993403
1.1,0.000778186953660499
1.10833333333333,0.0007771515319272
1.11666666666667,0.000776118501540219
1.125,0.000775087855342425
1.13333333333333,0.000774059586148833
1.14166666666667,0.000773033686856573
1.15,0.000772010150439813
1.15833333333333,0.000770988969836951
1.16666666666667,0.000769970138048175
1.175,0.000768953648152496
1.18333333333333,0.000767939493227893
1.19166666666667,0.000766927666346046
1.2,0.000765918160681966
1.20833333333333,0.000764910969427973
1.21666666666667,0.000763906085762763
1.225,0.000762903502934645
1.23333333333333,0.000761903214185719
1.24166666666667,0.00076090521281572
1.25,0.000759909492108567
1.25833333333333,0.000758916045438683
1.26666666666667,0.000757924866130586
1.275,0.000756935947611163
1.28333333333333,0.000755949283251551
1.29166666666667,0.000754964866514309
1.3,0.000753982690813086
1.30833333333333,0.000753002749668645
1.31666666666667,0.000752025036585677
1.325,0.000751049545084412
1.33333333333333,0.000750076268666504
1.34166666666667,0.000749105200932428
1.35,0.000748136335480412
1.35833333333333,0.000747169665922781
1.36666666666667,0.00074620518589221
1.375,0.000745242889010968
1.38333333333333,0.000744282768980512
1.39166666666667,0.000743324819491686
1.4,0.000742369034253276
1.40833333333333,0.000741415407001912
1.41666666666667,0.000740463931465627
1.425,0.000739514601447004
1.43333333333333,0.000738567410737326
1.44166666666667,0.000737622353145899
1.45,0.000736679422509364
1.45833333333333,0.000735738612683019
1.46666666666667,0.00073479991753311
1.475,0.000733863330947219
