"Time","AUrine"
0,0
0,0
0.00833333333333333,4.68555836895818e-10
0.0166666666666667,1.77608934025304e-09
0.025,3.76107279545188e-09
0.0333333333333333,6.2926101178922e-09
0.0416666666666667,9.26458270698174e-09
0.05,1.25908759651114e-08
0.0583333333333333,1.62015554236534e-08
0.0666666666666667,2.00397953083788e-08
0.075,2.40594056468691e-08
0.0833333333333333,2.82228374674137e-08
0.0916666666666667,3.2499569686689e-08
0.1,3.68648028524808e-08
0.108333333333333,4.12983993095766e-08
0.116666666666667,4.57840220392414e-08
0.125,5.03084338675317e-08
0.133333333333333,5.48609266066873e-08
0.141666666666667,5.94328552398933e-08
0.15,6.40172579917477e-08
0.158333333333333,6.86085448849703e-08
0.166666666666667,7.32022451159618e-08
0.175,7.7794798294616e-08
0.183333333333333,8.23833844285879e-08
0.191666666666667,8.69657855600736e-08
0.2,9.15402712161919e-08
0.208333333333333,9.61055055991185e-08
0.216666666666667,1.00660471174153e-07
0.225,1.05204406735358e-07
0.233333333333333,1.09736756256984e-07
0.241666666666667,1.14257127542622e-07
0.25,1.18765258329215e-07
0.258333333333333,1.23260988915019e-07
0.266666666666667,1.27744239734112e-07
0.275,1.32214993318213e-07
0.283333333333333,1.36673279662266e-07
0.291666666666667,1.41119164518423e-07
0.3,1.4555273992584e-07
0.308333333333333,1.49974116708374e-07
0.316666666666667,1.54383418496449e-07
0.325,1.58780777033427e-07
0.333333333333333,1.63166328490138e-07
0.341666666666667,1.67540210624484e-07
0.35,1.71902560612368e-07
0.358333333333333,1.76253513418565e-07
0.366666666666667,1.80593200605044e-07
0.375,1.84921749484201e-07
0.383333333333333,1.89239282551834e-07
0.391666666666667,1.93545917128235e-07
0.4,1.97841765178683e-07
0.408333333333333,2.02126933256742e-07
0.416666666666667,2.06401522554081e-07
0.425,2.10665629014623e-07
0.433333333333333,2.14919343513575e-07
0.441666666666667,2.19162752067986e-07
0.45,2.23395936074732e-07
0.458333333333333,2.2761897256314e-07
0.466666666666667,2.31831934455989e-07
0.475,2.36034890831102e-07
0.483333333333333,2.40227907179873e-07
0.491666666666667,2.44411045659683e-07
0.5,2.48584365336774e-07
0.508333333333333,2.5274792241923e-07
0.516666666666667,2.56901770477328e-07
0.525,2.61045960651388e-07
0.533333333333333,2.65180541847256e-07
0.541666666666667,2.69305560918449e-07
0.55,2.73421062836408e-07
0.558333333333333,2.77527090847773e-07
0.566666666666667,2.81623686619791e-07
0.575,2.85710890374856e-07
0.583333333333333,2.89788741014236e-07
0.591666666666667,2.93857276231386e-07
0.6,2.97916532616153e-07
0.608333333333333,3.0196654575013e-07
0.616666666666667,3.0600735029351e-07
0.625,3.10038980064485e-07
0.633333333333333,3.14061468111924e-07
0.641666666666667,3.18074846780802e-07
0.65,3.22079147772779e-07
0.658333333333333,3.26074402200331e-07
0.666666666666667,3.3006064063609e-07
0.675,3.34037893157774e-07
0.683333333333333,3.38006189388856e-07
0.691666666666667,3.41965558535333e-07
0.7,3.45916029419076e-07
0.708333333333333,3.49857630508116e-07
0.716666666666667,3.53790389943973e-07
0.725,3.57714335566029e-07
0.733333333333333,3.61629494934236e-07
0.741666666666667,3.65535895349056e-07
0.75,3.69433563869666e-07
0.758333333333333,3.73322527330271e-07
0.766666666666667,3.77202812355007e-07
0.775,3.81074445371385e-07
0.783333333333333,3.84937452622345e-07
0.791666666666667,3.88791860177198e-07
0.8,3.92637693941181e-07
0.808333333333333,3.96474979664765e-07
0.816666666666667,4.00303742951457e-07
0.825,4.04124009265043e-07
0.833333333333333,4.07935803936197e-07
0.841666666666667,4.11739152168131e-07
0.85,4.15534079042032e-07
0.858333333333333,4.19320609521883e-07
0.866666666666667,4.23098768458836e-07
0.875,4.26868580595044e-07
0.883333333333333,4.30630070567417e-07
0.891666666666667,4.34383262910636e-07
0.9,4.38128182060077e-07
0.908333333333333,4.4186485235449e-07
0.916666666666667,4.45593298038363e-07
0.925,4.4931354326415e-07
0.933333333333333,4.53025612094217e-07
0.941666666666667,4.56729528502645e-07
0.95,4.60425316376831e-07
0.958333333333333,4.64112999518987e-07
0.966666666666667,4.67792601647483e-07
0.975,4.71464146398054e-07
0.983333333333333,4.75127657324952e-07
0.991666666666667,4.78783157901968e-07
1,4.82430671523599e-07
1.00833333333333,4.86070221505675e-07
1.01666666666667,4.89701831086422e-07
1.025,4.93325523427003e-07
1.03333333333333,4.96941321612206e-07
1.04166666666667,5.00549248651158e-07
1.05,5.04149327478069e-07
1.05833333333333,5.07741580952587e-07
1.06666666666667,5.11326031860507e-07
1.075,5.14902702914146e-07
1.08333333333333,5.18471616752807e-07
1.09166666666667,5.22032795943444e-07
1.1,5.25586262980839e-07
1.10833333333333,5.29132040288011e-07
1.11666666666667,5.32670150216629e-07
1.125,5.36200615047515e-07
1.13333333333333,5.3972345699081e-07
1.14166666666667,5.43238698186333e-07
1.15,5.46746360704111e-07
1.15833333333333,5.50246466544432e-07
1.16666666666667,5.53739037638157e-07
1.175,5.57224095847221e-07
1.18333333333333,5.60701662964814e-07
1.19166666666667,5.64171760715483e-07
1.2,5.67634410755618e-07
1.20833333333333,5.71089634673757e-07
1.21666666666667,5.74537453990638e-07
1.225,5.77977890159658e-07
1.23333333333333,5.81410964566897e-07
1.24166666666667,5.84836698531539e-07
1.25,5.88255113305967e-07
1.25833333333333,5.91666230076173e-07
1.26666666666667,5.95070069961816e-07
1.275,5.98466654016635e-07
1.28333333333333,6.01856003228472e-07
1.29166666666667,6.05238138519675e-07
1.3,6.08613080747109e-07
1.30833333333333,6.11980850702605e-07
