"Time","CSpleen"
0,0
0,0
0.00833333333333333,5.71143893872576e-05
0.0166666666666667,0.000116088827699738
0.025,0.000175434511681857
0.0333333333333333,0.000235022584037977
0.0416666666666667,0.000294767453094176
0.05,0.000354597704886021
0.0583333333333333,0.000414452881355355
0.0666666666666667,0.000474282379648721
0.075,0.000534044426264641
0.0833333333333333,0.000593705027615229
0.0916666666666667,0.000653236943369013
0.1,0.000712618721944581
0.108333333333333,0.000771833818255723
0.116666666666667,0.000830869802927793
0.125,0.000889717665843675
0.133333333333333,0.000948371208428915
0.141666666666667,0.00100682652245671
0.15,0.0010650815442489
0.158333333333333,0.00112313567675535
0.166666666666667,0.00118098947364261
0.175,0.00123864437551792
0.183333333333333,0.00129610249152448
0.191666666666667,0.00135336641972241
0.2,0.00141043910184741
0.208333333333333,0.00146732370433673
0.216666666666667,0.00152402352535923
0.225,0.00158054191843715
0.233333333333333,0.00163688223560635
0.241666666666667,0.00169304778161729
0.25,0.00174904178072225
0.258333333333333,0.00180486735211169
0.266666666666667,0.00186052749210247
0.275,0.00191602506341206
0.283333333333333,0.0019713627884451
0.291666666666667,0.00202654324522415
0.3,0.0020815688688411
0.308333333333333,0.00213644195248212
0.316666666666667,0.00219116465166943
0.325,0.00224573898934922
0.333333333333333,0.00230016686125586
0.341666666666667,0.00235445004293793
0.35,0.00240859019609771
0.358333333333333,0.00246258887571663
0.366666666666667,0.00251644753650417
0.375,0.00257016754027771
0.383333333333333,0.00262375016245706
0.391666666666667,0.00267719659757721
0.4,0.0027305079664522
0.408333333333333,0.00278368532168199
0.416666666666667,0.0028367296527451
0.425,0.00288964189151359
0.433333333333333,0.00294242291653294
0.441666666666667,0.00299507355805674
0.45,0.00304759460168977
0.458333333333333,0.00309998679277943
0.466666666666667,0.00315225083889652
0.475,0.00320438741423641
0.483333333333333,0.00325639716221511
0.491666666666667,0.00330828069787295
0.5,0.0033600386109829
0.508333333333333,0.00341167146734693
0.516666666666667,0.00346317981200299
0.525,0.00351456417075421
0.533333333333333,0.00356582505157486
0.541666666666667,0.00361696294676232
0.55,0.00366797833344167
0.558333333333333,0.00371887167592836
0.566666666666667,0.00376964342656054
0.575,0.00382029402644078
0.583333333333333,0.00387082390661179
0.591666666666667,0.00392123348924528
0.6,0.00397152318796025
0.608333333333333,0.00402169340872148
0.616666666666667,0.00407174455072818
0.625,0.0041216770066572
0.633333333333333,0.00417149116360894
0.641666666666667,0.00422118740277673
0.65,0.00427076610075854
0.658333333333333,0.00432022762951851
0.666666666666667,0.00436957235701938
0.675,0.00441880064720644
0.683333333333333,0.00446791286045791
0.691666666666667,0.00451690935394037
0.7,0.00456579048160815
