"Time","CLung"
0,0
0,0
0.00833333333333333,0.000159634990865212
0.0166666666666667,0.000278700276905174
0.025,0.000369824221020166
0.0333333333333333,0.000442352416093858
0.0416666666666667,0.000501988479084328
0.05,0.00055227957586318
0.0583333333333333,0.000595488624375317
0.0666666666666667,0.000633107198661139
0.075,0.000666157861994755
0.0833333333333333,0.000695373007647928
0.0916666666666667,0.000721301206808857
0.1,0.000744370942490995
0.108333333333333,0.000764929248756815
0.116666666666667,0.000783265487982112
0.125,0.000799626339433585
0.133333333333333,0.000814225491813097
0.141666666666667,0.000827250167780032
0.15,0.000838865685644486
0.158333333333333,0.000849218799058888
0.166666666666667,0.000858440248712643
0.175,0.000866646790303405
0.183333333333333,0.000873942860609375
0.191666666666667,0.000880421979734047
0.2,0.000886167954160371
0.208333333333333,0.000891255925603965
0.216666666666667,0.000895753291158658
0.225,0.00089972051756011
0.233333333333333,0.000903211863763051
0.241666666666667,0.000906276025733875
0.25,0.000908956711748909
0.258333333333333,0.000911293156628483
0.266666666666667,0.000913320582236103
0.275,0.000915070609985455
0.283333333333333,0.000916571630222505
0.291666666666667,0.00091784913416162
0.3,0.000918926009802175
0.308333333333333,0.000919822809402536
0.316666666666667,0.000920557987835488
0.325,0.000921148118614703
0.333333333333333,0.000921608083539356
0.341666666666667,0.00092195124732822
0.35,0.000922189612778122
0.358333333333333,0.00092233396049587
0.366666666666667,0.00092239396993652
0.375,0.000922378335878343
0.383333333333333,0.000922294866920251
0.391666666666667,0.000922150576108853
0.4,0.000921951762517099
0.408333333333333,0.0009217040833857
0.416666666666667,0.000921412619898416
0.425,0.000921081935825283
0.433333333333333,0.000920716130159495
0.441666666666667,0.00092031888467486
0.45,0.000919893506014318
0.458333333333333,0.000919442964427511
0.466666666666667,0.000918969927531908
0.475,0.000918476791438691
0.483333333333333,0.000917965708257879
0.491666666666667,0.000917438610968951
0.5,0.000916897235725129
0.508333333333333,0.000916343141874828
0.516666666666667,0.000915777729962283
0.525,0.000915202257882251
0.533333333333333,0.000914617855395893
0.541666666666667,0.00091402553715915
0.55,0.000913426214439405
0.558333333333333,0.000912820705650285
0.566666666666667,0.000912209745772991
0.575,0.000911593994852443
0.583333333333333,0.000910974045616533
0.591666666666667,0.000910350430322264
0.6,0.000909723626907368
0.608333333333333,0.000909094064513169
0.616666666666667,0.000908462128447741
0.625,0.000907828164642838
0.633333333333333,0.000907192483650173
0.641666666666667,0.000906555364247119
0.65,0.000905917056682412
0.658333333333333,0.000905277785554207
0.666666666666667,0.000904637752427965
0.675,0.00090399713817527
0.683333333333333,0.000903356105077765
0.691666666666667,0.000902714798718645
0.7,0.000902073349679136
0.708333333333333,0.000901431875064657
0.716666666666667,0.000900790479866819
0.725,0.000900149258202512
0.733333333333333,0.000899508294434783
0.741666666666667,0.000898867664142288
0.75,0.000898227435021652
0.758333333333333,0.000897587667686373
0.766666666666667,0.000896948416386661
0.775,0.000896309729658026
0.783333333333333,0.000895671650901144
0.791666666666667,0.000895034218904912
0.8,0.000894397468315049
0.808333333333333,0.000893761430047957
0.816666666666667,0.000893126131678112
0.825,0.000892491597791691
0.833333333333333,0.000891857850269384
0.841666666666667,0.000891224908570859
0.85,0.000890592789978385
0.858333333333333,0.000889961509818389
0.866666666666667,0.000889331081661864
0.875,0.000888701517502027
0.883333333333333,0.000888072827915793
0.891666666666667,0.000887445022207683
0.9,0.000886818108531951
0.908333333333333,0.000886192094018516
0.916666666666667,0.000885566984889698
0.925,0.000884942786532499
0.933333333333333,0.000884319503593087
0.941666666666667,0.00088369714004944
0.95,0.000883075699279767
0.958333333333333,0.000882455184125016
0.966666666666667,0.000881835596942818
0.975,0.000881216939657776
0.983333333333333,0.000880599213798261
0.991666666666667,0.000879982420544668
1,0.000879366560778179
1.00833333333333,0.000878751635091601
1.01666666666667,0.00087813764382755
1.025,0.000877524587101888
1.03333333333333,0.000876912464826882
1.04166666666667,0.000876301276733688
1.05,0.000875691022390009
1.05833333333333,0.000875081701217924
1.06666666666667,0.000874473312508636
1.075,0.000873865855429258
1.08333333333333,0.00087325932904365
1.09166666666667,0.000872653732335115
1.1,0.000872049064195869
1.10833333333333,0.000871445323445237
1.11666666666667,0.000870842508834718
1.125,0.000870240619055347
1.13333333333333,0.000869639652745404
1.14166666666667,0.000869039608495167
1.15,0.000868440484852889
1.15833333333333,0.000867842280322507
1.16666666666667,0.000867244993375289
1.175,0.000866648622466183
1.18333333333333,0.000866053166016971
1.19166666666667,0.000865458622427972
1.2,0.000864864990078425
1.20833333333333,0.000864272267328744
1.21666666666667,0.000863680452524124
1.225,0.000863089543995463
1.23333333333333,0.000862499540061914
1.24166666666667,0.000861910439032116
1.25,0.000861322239199154
1.25833333333333,0.000860734938849697
1.26666666666667,0.000860148536276403
1.275,0.000859563029759661
1.28333333333333,0.00085897841757713
1.29166666666667,0.000858394698001999
1.3,0.000857811869303777
1.30833333333333,0.000857229929750197
1.31666666666667,0.000856648877606821
1.325,0.000856068711138311
1.33333333333333,0.000855489428608608
1.34166666666667,0.000854911028274841
1.35,0.000854333508396066
1.35833333333333,0.000853756867243673
1.36666666666667,0.000853181103083265
1.375,0.000852606214183484
1.38333333333333,0.000852032198813479
1.39166666666667,0.00085145905524339
1.4,0.000850886781745641
1.40833333333333,0.000850315376594188
1.41666666666667,0.000849744838065357
1.425,0.000849175164431548
1.43333333333333,0.000848606353968559
1.44166666666667,0.000848038404966654
1.45,0.000847471315712337
1.45833333333333,0.000846905084496547
1.46666666666667,0.000846339709612345
1.475,0.00084577518935498
