"Time","CBrain","CRest","AFeces"
0,0,0,0
0,0,0,0
0.00833333333333333,9.02284458735734e-06,1.38884479965314e-05,0.0104165433182201
0.0166666666666667,1.63955882081343e-05,2.88929078143813e-05,0.0197479596370628
0.025,2.2349954636532e-05,4.43012018067531e-05,0.0281072903532258
0.0333333333333333,2.71553583989921e-05,5.97297831398559e-05,0.0355958009538546
0.0416666666666667,3.10290077613471e-05,7.48941267353681e-05,0.0423042077533279
0.05,3.41463784093752e-05,8.95878667757048e-05,0.0483137768369826
0.0583333333333333,3.66494813232577e-05,0.000103666043780979,0.0536973085365466
0.0666666666666667,3.86534260743105e-05,0.00011703168283098,0.0585200192914579
0.075,4.02516493217823e-05,0.000129625051326994,0.0628403317430041
0.0833333333333333,4.15200886600707e-05,0.000141415076984132,0.0667105821804035
0.0916666666666667,4.25205288339914e-05,0.000152392497921792,0.0701776557551475
0.1,4.33032800685058e-05,0.000162564424470596,0.073283552298345
0.108333333333333,4.39093422109081e-05,0.000171950012952035,0.0760658969543683
0.116666666666667,4.43721444109475e-05,0.000180577056754821,0.0785583952356519
0.125,4.47189529100582e-05,0.000188479303971678,0.0807912414410289
0.133333333333333,4.49720106899921e-05,0.000195694362558199,0.08279148440307
0.141666666666667,4.51494624224022e-05,0.000202262075163194,0.0845833552014349
0.15,4.52661054767319e-05,0.000208223272125652,0.0861885603690141
0.158333333333333,4.53340031643613e-05,0.000213618825671322,0.08762654618965
0.166666666666667,4.53629807417813e-05,0.000218488943881231,0.0889147320409585
0.175,4.53610344518079e-05,0.000222872655627109,0.0900687231557073
0.183333333333333,4.53346631500747e-05,0.000226807445907344,0.0911024988547224
0.191666666666667,4.52891410982717e-05,0.000230329011183814,0.0920285828527037
0.2,4.52287394236097e-05,0.000233471103946355,0.0928581934626452
0.208333333333333,4.5156909561388e-05,0.000236265452404773,0.0936013806920263
0.216666666666667,4.50764323759586e-05,0.000238741732654685,0.0942671474345069
0.225,4.49895411874066e-05,0.000240927584417287,0.0948635591260851
0.233333333333333,4.48980218908292e-05,0.000242848654106345,0.0953978405463188
0.241666666666667,4.48032959528783e-05,0.000244528663673447,0.095876464039705
0.25,4.47064879959849e-05,0.000245989492603941,0.0963052275981516
0.258333333333333,4.46084815578683e-05,0.000247251272092435,0.0966893255089739
0.266666666666667,4.45099644466653e-05,0.000248332482070676,0.0970334105909458
0.275,4.44114663402809e-05,0.000249250054834,0.0973416511508361
0.283333333333333,4.43133893117505e-05,0.000250019476534948,0.0976177811815531
0.291666666666667,4.42160329722678e-05,0.000250654889159418,0.0978651458769917
0.3,4.4119614874593e-05,0.000251169187332278,0.0980867417240337
0.308333333333333,4.40242873239055e-05,0.000251574114192204,0.0982852531725612
0.316666666666667,4.39301509931506e-05,0.000251880351036765,0.0984630849695479
0.325,4.38372660436552e-05,0.000252097603489717,0.0986223914599307
0.333333333333333,4.37456610958027e-05,0.00025223468106768,0.0987651024417003
0.341666666666667,4.36553405581826e-05,0.000252299573346444,0.0988929467316031
0.35,4.35662904913458e-05,0.000252299519945993,0.099007473021181
0.358333333333333,4.34784833516484e-05,0.000252241076343392,0.0991100687432384
0.366666666666667,4.33918817569689e-05,0.000252130173678415,0.0992019767128674
0.375,4.33064415156047e-05,0.00025197217520444,0.0992843103146151
0.383333333333333,4.32221139936916e-05,0.000251771927477387,0.099358066928419
0.391666666666667,4.31388479860066e-05,0.000251533807978647,0.0994241400843094
0.4,4.30565911739216e-05,0.000251261767963189,0.099483330167701
0.408333333333333,4.29752912241259e-05,0.000250959372599561,0.0995363542175334
0.416666666666667,4.28948966327341e-05,0.000250629837023801,0.0995838545612294
0.425,4.28153573476397e-05,0.000250276059676499,0.0996264066433948
0.433333333333333,4.27366252091998e-05,0.000249900652138821,0.099664525927673
0.441666666666667,4.26586542612762e-05,0.000249505966863674,0.0996986741957851
0.45,4.25814009385115e-05,0.000249094122040848,0.0997292651221291
0.458333333333333,4.2504824181698e-05,0.000248667024294926,0.0997566692871966
0.466666666666667,4.24288854711895e-05,0.000248226389252716,0.099781218666983
0.475,4.23535488324478e-05,0.000247773760221424,0.0998032106540437
0.483333333333333,4.22787807704254e-05,0.000247310525069831,0.0998229116607807
0.491666666666667,4.22045502008432e-05,0.000246837931538764,0.0998405603464691
0.5,4.2130828356171e-05,0.000246357101088992,0.0998563705084347
0.508333333333333,4.20575886674674e-05,0.000245869041406179,0.0998705336720755
0.516666666666667,4.19848066596989e-05,0.000245374657730335,0.0998832214107376
0.525,4.19124598115746e-05,0.000244874763048054,0.0998945874245145
0.533333333333333,4.18405274379004e-05,0.000244370087320693,0.0999047694020207
0.541666666666667,4.17689905681717e-05,0.000243861285807433,0.0999138906883795
0.55,4.16978318220354e-05,0.000243348946563873,0.0999220617794488
0.558333333333333,4.16270352903237e-05,0.000242833597202296,0.0999293816602925
0.566666666666667,4.15565864254502e-05,0.00024231571099134,0.0999359390043945
0.575,4.14864719316297e-05,0.000241795712342833,0.099941813247821
0.583333333333333,4.14166796709244e-05,0.000241273981767463,0.0999470755515108
0.591666666666667,4.13471985542514e-05,0.000240750860301107,0.0999517896624181
0.6,4.1278018467391e-05,0.00024022665355441,0.0999560126896638
0.608333333333333,4.12091301778431e-05,0.000239701635267917,0.0999597957898522
0.616666666666667,4.11405252646446e-05,0.000239176050592721,0.0999631847918524
0.625,4.10721960439266e-05,0.00023865011899371,0.0999662207502262
0.633333333333333,4.10041355004469e-05,0.000238124036868607,0.0999689404427397
0.641666666666667,4.09363372321432e-05,0.000237597979909893,0.0999713768154003
