"Time","AUrine"
0,0
0,0
0.00833333333333333,4.68555836895806e-10
0.0166666666666667,1.77608934024998e-09
0.025,3.76107279529428e-09
0.0333333333333333,6.29261011703062e-09
0.0416666666666667,9.26458270058026e-09
0.05,1.2590875955316e-08
0.0583333333333333,1.62015553753947e-08
0.0666666666666667,2.00397952396546e-08
0.075,2.4059405646504e-08
0.0833333333333333,2.82228378415913e-08
0.0916666666666667,3.24995698916226e-08
0.1,3.68648030177356e-08
0.108333333333333,4.12983994451733e-08
0.116666666666667,4.5784022151791e-08
0.125,5.03084339604317e-08
0.133333333333333,5.4860926682046e-08
0.141666666666667,5.94328553004181e-08
0.15,6.40172580367927e-08
0.158333333333333,6.86085449262756e-08
0.166666666666667,7.32022451449026e-08
0.175,7.77947982186949e-08
0.183333333333333,8.23833844831613e-08
0.191666666666667,8.69657855847363e-08
0.2,9.15402712332325e-08
0.208333333333333,9.61055055700855e-08
0.216666666666667,1.00660471196142e-07
0.225,1.05204406744429e-07
0.233333333333333,1.09736756260866e-07
0.241666666666667,1.14257127525992e-07
0.25,1.18765258329672e-07
0.258333333333333,1.23260988906673e-07
0.266666666666667,1.27744239723462e-07
0.275,1.32214993299832e-07
0.283333333333333,1.36673279650465e-07
0.291666666666667,1.41119164503057e-07
0.3,1.45552739909304e-07
0.308333333333333,1.4997411668957e-07
0.316666666666667,1.5438341847838e-07
0.325,1.58780777014377e-07
0.333333333333333,1.63166328470314e-07
0.341666666666667,1.67540210604199e-07
0.35,1.71902560590908e-07
0.358333333333333,1.76253513396421e-07
0.366666666666667,1.80593200582062e-07
0.375,1.84921749461151e-07
0.383333333333333,1.8923928252703e-07
0.391666666666667,1.93545917103077e-07
0.4,1.97841765152671e-07
0.408333333333333,2.0212693323066e-07
0.416666666666667,2.06401522525998e-07
0.425,2.10665628985761e-07
0.433333333333333,2.14919343483664e-07
0.441666666666667,2.19162752036993e-07
0.45,2.23395936042559e-07
0.458333333333333,2.27618972529948e-07
0.466666666666667,2.31831934421636e-07
0.475,2.36034890795397e-07
0.483333333333333,2.40227907142791e-07
0.491666666666667,2.44411045621138e-07
0.5,2.48584365296916e-07
0.508333333333333,2.52747922377928e-07
0.516666666666667,2.56901770434389e-07
0.525,2.61045960606793e-07
0.533333333333333,2.65180541800935e-07
0.541666666666667,2.69305560870545e-07
0.55,2.7342106278713e-07
0.558333333333333,2.77527090797213e-07
0.566666666666667,2.81623686568106e-07
0.575,2.85710890322124e-07
0.583333333333333,2.89788740960591e-07
0.591666666666667,2.93857276176719e-07
0.6,2.97916532560705e-07
0.608333333333333,3.01966545693705e-07
0.616666666666667,3.06007350235901e-07
0.625,3.10038980005695e-07
0.633333333333333,3.14061468051918e-07
0.641666666666667,3.180748467197e-07
0.65,3.22079147710885e-07
0.658333333333333,3.26074402137587e-07
0.666666666666667,3.30060640572422e-07
0.675,3.34037893093204e-07
0.683333333333333,3.38006189323403e-07
0.691666666666667,3.4196555846906e-07
0.7,3.45916029352187e-07
0.708333333333333,3.4985763044071e-07
0.716666666666667,3.53790389876104e-07
0.725,3.57714335497849e-07
0.733333333333333,3.61629494865777e-07
0.741666666666667,3.65535895280304e-07
0.75,3.69433563800677e-07
0.758333333333333,3.73322527261138e-07
0.766666666666667,3.7720281228587e-07
0.775,3.81074445302403e-07
0.783333333333333,3.84937452553551e-07
0.791666666666667,3.88791860108569e-07
0.8,3.92637693872806e-07
0.808333333333333,3.96474979596624e-07
0.816666666666667,4.00303742883489e-07
0.825,4.0412400919725e-07
0.833333333333333,4.07935803868429e-07
0.841666666666667,4.11739152100208e-07
0.85,4.15534078973951e-07
0.858333333333333,4.19320609453574e-07
0.866666666666667,4.23098768390301e-07
0.875,4.26868580526334e-07
0.883333333333333,4.30630070498481e-07
0.891666666666667,4.34383262841389e-07
0.9,4.38128181990447e-07
0.908333333333333,4.41864852284573e-07
0.916666666666667,4.45593297968379e-07
0.925,4.49313543194184e-07
0.933333333333333,4.53025612024314e-07
0.941666666666667,4.56729528432833e-07
0.95,4.6042531630714e-07
0.958333333333333,4.64112999449438e-07
0.966666666666667,4.67792601578053e-07
0.975,4.71464146328691e-07
0.983333333333333,4.75127657255556e-07
0.991666666666667,4.78783157832601e-07
1,4.82430671454219e-07
1.00833333333333,4.86070221436234e-07
1.01666666666667,4.89701831016893e-07
1.025,4.93325523357384e-07
1.03333333333333,4.96941321542569e-07
1.04166666666667,5.00549248581649e-07
1.05,5.04149327408763e-07
1.05833333333333,5.07741580883541e-07
1.06666666666667,5.11326031791696e-07
1.075,5.1490270284551e-07
1.08333333333333,5.18471616684468e-07
1.09166666666667,5.22032795875446e-07
1.1,5.25586262913121e-07
1.10833333333333,5.29132040220608e-07
1.11666666666667,5.3267015014954e-07
1.125,5.36200614980705e-07
1.13333333333333,5.39723456924322e-07
1.14166666666667,5.43238698120224e-07
1.15,5.46746360638262e-07
1.15833333333333,5.50246466478768e-07
1.16666666666667,5.53739037572633e-07
1.175,5.57224095781752e-07
1.18333333333333,5.60701662899321e-07
1.19166666666667,5.64171760650035e-07
1.2,5.67634410690261e-07
1.20833333333333,5.71089634608511e-07
1.21666666666667,5.74537453925485e-07
1.225,5.77977890094529e-07
1.23333333333333,5.81410964501834e-07
1.24166666666667,5.84836698466514e-07
1.25,5.88255113241055e-07
1.25833333333333,5.91666230011369e-07
1.26666666666667,5.95070069897084e-07
1.275,5.98466653951924e-07
1.28333333333333,6.01856003163718e-07
1.29166666666667,6.05238138454768e-07
1.3,6.08613080682103e-07
1.30833333333333,6.119808506375e-07
