"Time","CBlood"
0,0
0,0
0.00833333333333333,0.000239690782074319
0.0166666666666667,0.000427855809953436
0.025,0.00057562294315569
0.0333333333333333,0.000692612737028182
0.0416666666666667,0.000785976347430258
0.05,0.000861062134753316
0.0583333333333333,0.000921893305200223
0.0666666666666667,0.000971513438522033
0.075,0.00101223834497911
0.0833333333333333,0.00104584080908426
0.0916666666666667,0.00107368670274414
0.1,0.00109683574044852
0.108333333333333,0.00111611628833516
0.116666666666667,0.0011321811038084
0.125,0.00114554899654418
0.133333333333333,0.0011566360201036
0.141666666666667,0.00116577891628191
0.15,0.00117325284202582
0.158333333333333,0.00117928478953864
0.166666666666667,0.00118406372297624
0.175,0.00118774838734835
0.183333333333333,0.00119047329032771
0.191666666666667,0.00119235329879542
0.2,0.00119348723436342
0.208333333333333,0.00119396066981298
0.216666666666667,0.00119384816375021
0.225,0.00119321500384437
0.233333333333333,0.00119211863589277
0.241666666666667,0.0011906097973231
0.25,0.00118873346460947
0.258333333333333,0.00118652961651776
0.266666666666667,0.0011840338851746
0.275,0.00118127808997324
0.283333333333333,0.00117829070148534
0.291666666666667,0.00117509722674142
0.3,0.00117172055089882
0.308333333333333,0.00116818122376195
0.316666666666667,0.00116449771667715
0.325,0.00116068664275246
0.333333333333333,0.00115676295310933
0.341666666666667,0.00115274010742334
0.35,0.00114863022953739
0.358333333333333,0.00114444424052861
0.366666666666667,0.00114019198215674
0.375,0.00113588232275661
0.383333333333333,0.00113152325569051
0.391666666666667,0.00112712198467232
0.4,0.00112268500264832
0.408333333333333,0.00111821816032522
0.416666666666667,0.00111372673039563
0.425,0.00110921546287271
0.433333333333333,0.00110468863674176
0.441666666666667,0.00110015010559905
0.45,0.00109560333872516
0.458333333333333,0.00109105145874541
0.466666666666667,0.00108649727486597
0.475,0.0010819433136038
0.483333333333333,0.00107739184577682
0.491666666666667,0.00107284491162173
0.5,0.00106830434271456
0.508333333333333,0.00106377178253326
0.516666666666667,0.00105924870428099
0.525,0.00105473642753081
0.533333333333333,0.00105023613324994
0.541666666666667,0.00104574887685725
0.55,0.00104127560046431
0.558333333333333,0.00103681714410945
0.566666666666667,0.00103237425527077
0.575,0.00102794759793034
0.583333333333333,0.00102353776092004
0.591666666666667,0.00101914526485188
0.6,0.00101477056883976
0.608333333333333,0.00101041407671319
0.616666666666667,0.00100607614204911
0.625,0.00100175707330693
0.633333333333333,0.000997457137969012
0.641666666666667,0.000993176566729491
0.65,0.000988915557209976
0.658333333333333,0.000984674276898832
0.666666666666667,0.000980452866331473
0.675,0.00097625144153471
0.683333333333333,0.000972070096579148
0.691666666666667,0.00096790890583326
0.7,0.000963767925657294
0.708333333333333,0.00095964719636097
0.716666666666667,0.00095554674385327
0.725,0.000951466580915636
0.733333333333333,0.000947406708701749
0.741666666666667,0.000943367117710344
0.75,0.000939347788988623
0.758333333333333,0.000935348695153397
0.766666666666667,0.00093136980118363
0.775,0.000927411065086018
0.783333333333333,0.000923472438761535
0.791666666666667,0.000919553868709016
0.8,0.000915655296513403
0.808333333333333,0.00091177665925609
0.816666666666667,0.000907917890141026
0.825,0.000904078918976248
0.833333333333333,0.000900259672470966
0.841666666666667,0.000896460074474522
0.85,0.000892680046530551
0.858333333333333,0.000888919507924952
0.866666666666667,0.000885178376094052
0.875,0.000881456566895226
0.883333333333333,0.000877753994737651
0.891666666666667,0.00087407057267003
0.9,0.000870406212777338
0.908333333333333,0.000866760826107147
0.916666666666667,0.00086313432303095
0.925,0.000859526613147151
0.933333333333333,0.000855937605615902
0.941666666666667,0.000852367209041625
0.95,0.000848815331782853
0.958333333333333,0.000845281881819592
0.966666666666667,0.000841766767041596
0.975,0.000838269895175701
0.983333333333333,0.000834791173781185
0.991666666666667,0.000831330510494987
1,0.000827887813032938
1.00833333333333,0.000824462989064567
1.01666666666667,0.000821055946530964
1.025,0.000817666593449487
1.03333333333333,0.000814294837935233
1.04166666666667,0.000810940588481616
1.05,0.000807603753677128
1.05833333333333,0.000804284242483698
1.06666666666667,0.000800981964052268
1.075,0.000797696827933239
1.08333333333333,0.000794428743963372
1.09166666666667,0.000791177622220418
1.1,0.000787943373261939
1.10833333333333,0.000784725907978814
1.11666666666667,0.00078152513752202
1.125,0.000778340973528909
1.13333333333333,0.00077517332799151
1.14166666666667,0.0007720221132051
1.15,0.00076888724199534
1.15833333333333,0.000765768627560993
1.16666666666667,0.000762666183406317
1.175,0.000759579823562579
1.18333333333333,0.000756509462418905
1.19166666666667,0.000753455014793167
1.2,0.000750416395834966
1.20833333333333,0.000747393521245956
1.21666666666667,0.000744386307115977
1.225,0.000741394669919901
1.23333333333333,0.00073841852656446
1.24166666666667,0.000735457794326382
1.25,0.000732512390988119
1.25833333333333,0.000729582234729434
1.26666666666667,0.000726667244145217
1.275,0.000723767338201513
1.28333333333333,0.000720882436364548
1.29166666666667,0.000718012458495911
1.3,0.000715157324869472
1.30833333333333,0.000712316956173839
1.31666666666667,0.000709491273512613
1.325,0.000706680198341132
1.33333333333333,0.00070388365269338
1.34166666666667,0.000701101558876085
1.35,0.000698333839582501
1.35833333333333,0.000695580418074267
1.36666666666667,0.000692841217876661
1.375,0.000690116162931485
1.38333333333333,0.000687405177674843
1.39166666666667,0.000684708186865805
1.4,0.000682025115712933
1.40833333333333,0.000679355889770135
1.41666666666667,0.000676700435025434
1.425,0.000674058677883462
1.43333333333333,0.00067143054509455
1.44166666666667,0.000668815963766956
1.45,0.000666214861510088
1.45833333333333,0.000663627166221575
1.46666666666667,0.000661052806263423
1.475,0.000658491710302602
