"Time","CGI"
0,0
0,0
0.00833333333333333,107.618960409714
0.0166666666666667,97.2874660350972
0.025,87.9478065631616
0.0333333333333333,79.5047640469329
0.0416666666666667,71.8722618310195
0.05,64.9724869024068
0.0583333333333333,58.7350965056885
0.0666666666666667,53.0965009431465
0.075,47.9992153357493
0.0833333333333333,43.3912733321552
0.0916666666666667,39.2256974912406
0.1,35.4600202476537
0.108333333333333,32.0558510691724
0.116666666666667,28.9784850364318
0.125,26.1965485140621
0.133333333333333,23.6816796331442
0.141666666666667,21.4082400498838
0.15,19.3530528021561
0.158333333333333,17.4951647222639
0.166666666666667,15.8156352542142
0.175,14.2973421873232
0.183333333333333,12.9248063470059
0.191666666666667,11.6840349233967
0.2,10.5623781609403
0.208333333333333,9.54840153698583
0.216666666666667,8.63176720043354
0.225,7.80313054741979
0.233333333333333,7.05404342584726
0.241666666666667,6.37686935896881
0.25,5.76470434321754
0.258333333333333,5.21130769380747
0.266666666666667,4.7110373745581
0.275,4.25879340142989
0.283333333333333,3.8499650359157
0.291666666666667,3.48038453928094
0.3,3.14628391842017
0.308333333333333,2.8442572094034
0.316666666666667,2.5712252209616
0.325,2.32440443331338
0.333333333333333,2.10127850173099
0.341666666666667,1.89957281596373
0.35,1.71723091866178
0.358333333333333,1.55239393657504
0.366666666666667,1.40338132910626
0.375,1.26867400225575
0.383333333333333,1.14689858900743
0.391666666666667,1.03681365166354
0.4,0.937296853322284
0.408333333333333,0.847333694643438
0.416666666666667,0.766006976166288
0.425,0.69248762545204
0.433333333333333,0.626026112635865
0.441666666666667,0.565944881535053
0.45,0.511631418440939
0.458333333333333,0.462532015135189
0.466666666666667,0.418146116425951
0.475,0.378021223932164
0.483333333333333,0.341748276692228
0.491666666666667,0.30895748639062
0.5,0.279314562528041
0.508333333333333,0.252517308443884
0.516666666666667,0.228292537738541
0.525,0.206393290077543
0.533333333333333,0.186596314755769
0.541666666666667,0.168699790857996
0.55,0.152521274397437
0.558333333333333,0.137895836388668
0.566666666666667,0.124674379318543
0.575,0.112722120663162
0.583333333333333,0.101917217264896
0.591666666666667,0.0921495216056446
0.6,0.0833194616295578
0.608333333333333,0.0753370243142622
0.616666666666667,0.0681208369316086
0.625,0.0615973395229649
0.633333333333333,0.0557000336113347
0.641666666666667,0.0503688046570729
0.65,0.0455493094344401
0.658333333333333,0.0411924203298504
0.666666666666667,0.0372537287882158
0.675,0.0336930864121285
0.683333333333333,0.0304742012500707
0.691666666666667,0.0275642653301928
0.7,0.0249336183990634
0.708333333333333,0.0225554496956086
0.716666666666667,0.0204055213370992
0.725,0.0184619218608087
0.733333333333333,0.0167048445771534
0.741666666666667,0.0151163828878668
0.75,0.013680350354063
0.758333333333333,0.0123821139550451
0.766666666666667,0.0112084454208807
0.775,0.0101473861590594
0.783333333333333,0.00918812629381791
0.791666666666667,0.00832089328618125
0.8,0.00753685277537419
0.808333333333333,0.00682801832729584
0.816666666666667,0.00618717067703837
0.825,0.00560778333202954
0.833333333333333,0.00508395634874646
0.841666666666667,0.00461035606571176
0.85,0.00418216120885129
0.858333333333333,0.0037950129548363
0.866666666666667,0.00344497123527184
0.875,0.00312847409603322
0.883333333333333,0.00284230152382059
0.891666666666667,0.00258354257312394
0.9,0.00234956592673893
0.908333333333333,0.00213799268430041
0.916666666666667,0.00194667248179602
0.925,0.00177366124475027
0.933333333333333,0.00161720166071471
0.941666666666667,0.00147570500184123
0.95,0.00134773516240318
0.958333333333333,0.00123199380952513
0.966666666666667,0.00112730733129053
0.975,0.00103261472910569
0.983333333333333,0.000946956862695842
0.991666666666667,0.000869466692410901
1,0.000799360402079961
1.00833333333333,0.000735929411651814
1.01666666666667,0.000678533180498519
1.025,0.000626592648887578
1.03333333333333,0.000579584341848461
1.04166666666667,0.000537035051366345
1.05,0.00049851697627496
1.05833333333333,0.000463643409268217
1.06666666666667,0.000432064738857449
1.075,0.000403464937570335
1.08333333333333,0.00037755830136347
1.09166666666667,0.000354086553263404
1.1,0.000332816213632894
1.10833333333333,0.000313536218528329
1.11666666666667,0.000296055755045608
1.125,0.000280202339327247
1.13333333333333,0.000265820036022689
1.14166666666667,0.000252767878888786
1.15,0.000240918435597605
1.15833333333333,0.000230156507287636
1.16666666666667,0.000220377948567097
1.175,0.000211488614053673
1.18333333333333,0.000203403395060839
1.19166666666667,0.000196045350347444
1.2,0.000189344923481508
1.20833333333333,0.000183239235480157
1.21666666666667,0.000177671442160883
1.225,0.000172590155160732
1.23333333333333,0.000167948917865328
1.24166666666667,0.000163705732241142
1.25,0.000159822630768771
1.25833333333333,0.00015626528954241
1.26666666666667,0.000153002678457047
1.275,0.000150006745027419
1.28333333333333,0.00014725212852674
1.29166666666667,0.00014471590161029
1.3,0.000142377336689344
1.30833333333333,0.000140217694767083
1.31666666666667,0.000138220034538508
1.325,0.00013636903986167
1.33333333333333,0.000134650863563964
1.34166666666667,0.000133052986731634
1.35,0.000131564090989834
1.35833333333333,0.000130173943228971
1.36666666666667,0.000128873291572906
1.375,0.000127653771018799
1.38333333333333,0.000126507818673011
1.39166666666667,0.000125428596104999
1.4,0.000124409920503049
1.40833333333333,0.000123446201213724
1.41666666666667,0.000122532383125443
1.425,0.000121663895308833
1.43333333333333,0.000120836604394194
1.44166666666667,0.000120046772779083
1.45,0.000119291020425115
1.45833333333333,0.000118566290583307
1.46666666666667,0.000117869818882408
1.475,0.0001171991051498
1.48333333333333,0.000116551888118083
1.49166666666667,0.000115926122453443
1.5,0.000115319958066994
1.50833333333333,0.000114731721347079
