"Time","CBrain","CRest","AFeces"
0,0,0,0
0,0,0,0
0.00833333333333333,7.17299725998143e-06,1.19023641138178e-05,0.00959943267990739
0.0166666666666667,1.28278100440545e-05,2.56219513375365e-05,0.0182773118267057
0.025,1.7272437145639e-05,4.00985551252696e-05,0.0261221073471933
0.0333333333333333,2.07951729747811e-05,5.47092247426358e-05,0.0332137959635082
0.0416666666666667,2.36102958679784e-05,6.90311097902841e-05,0.0396246765667076
0.05,2.58780518217737e-05,8.27862484413522e-05,0.0454201072904804
0.0583333333333333,2.77189723849884e-05,9.58009614253454e-05,0.0506591718367686
0.0666666666666667,2.92242316553305e-05,0.000107976024210402,0.0553952818314515
0.075,3.04631951592772e-05,0.00011926479743218,0.059676721271871
0.0833333333333333,3.14889569049114e-05,0.000129657230071694,0.0635471389523836
0.0916666666666667,3.23424187330209e-05,0.000139168203637042,0.0670459932951401
0.1,3.30553098602056e-05,0.000147829073328949,0.0702089546995399
0.108333333333333,3.3652428750269e-05,0.000155681568106372,0.0730682690971404
0.116666666666667,3.41533134436895e-05,0.000162773425388874,0.0756530867169189
0.125,3.45734899405301e-05,0.000169155300358646,0.0779897596978193
0.133333333333333,3.49254068174817e-05,0.000174878609726819,0.0801021104631315
0.141666666666667,3.52191376673533e-05,0.000179994054971325,0.0820116738255623
0.15,3.54629121966078e-05,0.000184550641410903,0.0837379171722132
0.158333333333333,3.56635182596213e-05,0.000188595057690912,0.0852984400241594
0.166666666666667,3.58266055045271e-05,0.000192171307025987,0.0867091514179946
0.175,3.59569192649958e-05,0.000195320524257445,0.0879844330787946
0.183333333333333,3.60584797064166e-05,0.000198080921206692,0.0891372866702183
0.191666666666667,3.61347194684477e-05,0.000200487816097384,0.0901794653899296
0.2,3.61885913162331e-05,0.00020257372476968,0.0911215943425829
0.208333333333333,3.62226518541812e-05,0.000204368485445677,0.0919732779029152
0.216666666666667,3.62391284098051e-05,0.0002058994133333,0.0927431993009095
0.225,3.62399712009657e-05,0.000207191457552219,0.0934392074926708
0.233333333333333,3.62268960922583e-05,0.000208267370477033,0.0940683984634287
0.241666666666667,3.62014185023774e-05,0.000209147868859915,0.0946371864351812
0.25,3.61648817386739e-05,0.000209851797159768,0.0951513703922659
0.258333333333333,3.61184798196523e-05,0.000210396277287201,0.0956161921673416
0.266666666666667,3.60632769389754e-05,0.000210796855946603,0.096036390760856
0.275,3.60002234241356e-05,0.000211067637784725,0.0964162498790282
0.283333333333333,3.59301696003208e-05,0.000211221413795839,0.0967596422885499
0.291666666666667,3.58538773026173e-05,0.000211269776153577,0.0970700686605255
0.3,3.57720300834368e-05,0.000211223228121481,0.0973506939016105
0.308333333333333,3.56852417713112e-05,0.000211091281239506,0.0976043788337885
0.316666666666667,3.55940641437093e-05,0.00021088254760771,0.0978337098079281
0.325,3.54989935037928e-05,0.000210604822166268,0.0980410248270781
0.333333333333333,3.54004765408424e-05,0.000210265158872308,0.0982284374819191
0.341666666666667,3.52989154224007e-05,0.000209869939204084,0.098397858319461
0.35,3.5194672440448e-05,0.000209424936200845,0.098551014650279
0.358333333333333,3.50880739841073e-05,0.00020893537057478,0.0986894678251821
0.366666666666667,3.49794142250856e-05,0.000208405963581398,0.0988146294053745
0.375,3.48689582787319e-05,0.000207840983519096,0.098927775345817
0.383333333333333,3.47569451429909e-05,0.000207244289242953,0.0990300591988403
0.391666666666667,3.46435902453012e-05,0.000206619368451747,0.0991225237034267
0.4,3.45290877971985e-05,0.000205969373407925,0.0992061115604634
0.408333333333333,3.44136128396937e-05,0.000205297152351098,0.0992816748932408
0.416666666666667,3.42973231603491e-05,0.000204605278982726,0.0993499840985251
0.425,3.41803609448361e-05,0.000203896078158662,0.0994117355512536
0.433333333333333,3.40628543186288e-05,0.000203171649981711,0.099467558814998
0.441666666666667,3.39449187091577e-05,0.000202433891084126,0.0995180229994167
0.45,3.38266580716892e-05,0.000201684514115067,0.0995636425820868
0.458333333333333,3.37081660133821e-05,0.000200925065331085,0.0996048826472264
0.466666666666667,3.35895267852179e-05,0.00020015694051758,0.0996421636334523
0.475,3.34708161992017e-05,0.000199381399392469,0.0996758656143196
0.483333333333333,3.33521024338672e-05,0.000198599578636016,0.0997063321783555
0.491666666666667,3.32334467839745e-05,0.00019781250368279,0.0997338739272381
0.5,3.31149043147024e-05,0.000197021099379852,0.0997587716464459
0.508333333333333,3.29965244753912e-05,0.000196226199639365,0.0997812791644096
0.516666666666667,3.2878351631451e-05,0.000195428556152327,0.0998016259425474
0.525,3.27604255611451e-05,0.000194628846283159,0.0998200194138355
0.533333333333333,3.26427819040226e-05,0.000193827680210435,0.0998366470964748
0.541666666666667,3.25254525505889e-05,0.000193025607373256,0.0998516785088298
0.55,3.24084660076474e-05,0.000192223122296517,0.0998652668937188
0.558333333333333,3.22918477336263e-05,0.000191420669885486,0.0998775507823294
0.566666666666667,3.21756204224592e-05,0.000190618650185426,0.0998886554082896
0.575,3.20598042741194e-05,0.000189817422689135,0.0998986939814299
0.583333333333333,3.19444172437398e-05,0.000189017310254055,0.0999077688432305
0.591666666666667,3.18294752484203e-05,0.000188218602616841,0.0999159725114821
0.6,3.17149923678489e-05,0.000187421559577854,0.0999233886211737
0.608333333333333,3.16009810297891e-05,0.000186626413899384,0.099930092778236
0.616666666666667,3.14874521602272e-05,0.000185833373899471,0.0999361533312313
0.625,3.13744153366583e-05,0.000185042625813667,0.0999416320664289
0.633333333333333,3.12618789116384e-05,0.000184254335916537,0.0999465848388449
0.641666666666667,3.11498501378261e-05,0.000183468652454864,0.099951062141342
